campaign_name,spend,impressions,clicks
51+_allclusters_htc_one_2GB,79.99,5524,68
51+_cluster3_nokia_lumia_v3_more_everything,106.69,2935,59
41-50_cluster3_nokia_lumia_v3_more_everything_10114,2.9,9427,73
51+_cluster2_nokia_lumia_v3,78.66,4599,3
21-30_cluster3_htc_one_1GB_10114,663.27,3818,99
51+_cluster1_nokia_lumia_v3_MORE_EVERYTHING,22.96,2370,95
<21_cluster2_nokia_lumia_v3_more_everything_10114,516.56,4032,68
<21_allclusters_nokia_lumia_v3_more_everything,787.22,9669,58
41-50_notarget_iphone_6/6+_AT&T,124.71,9143,33
51+_cluster1_iphone5S,496.82,3047,98
<21_cluster3_htc_one_2GB,125.29,2419,88
<21_cluster1_iphone_6/6+_AT&T,213.94,5687,9
21-30_cluster1_htc_one_1GB,8.7,5714,42
51+_cluster2_nokia_lumia_v3_MORE_EVERYTHING_10114,527.88,4342,100
<21_cluster1_iphone5S,658.12,7146,98
<21_cluster2_nokia_lumia_v3_more_everything_9114,187.79,2693,73
41-50_cluster3_iphone5S,549.31,4847,48
<21_notarget_nokia_lumia_v3_MORE_EVERYTHING,129.16,8893,79
41-50_cluster3_htc_one_1GB_8114,534.93,4965,34
21-30_allclusters_htc_one_1GB,359,2169,39
51+_notarget_nokia_lumia_v3_MORE_EVERYTHING,288.65,8227,63
<21_cluster1_htc_one_2GB_limited_time_offer,74.25,3896,72
41-50_notarget_htc_one_1GB,224.9,6957,91
<21_cluster1_nokia_lumia_v3,114.36,2989,0
21-30_cluster2_nokia_lumia_v3_MORE_EVERYTHING,134.8,5285,56
51+_cluster1_iPhone_6/6+_all_other_devices_10114,538.94,8651,38
51+_allclusters_iPhone_6/6+_all_other_devices_8114,31.11,6720,87
51+_cluster2_iphone_6/6+_AT&T_9114,96.31,1166,98
31-40_cluster2_iphone5S,185.21,5837,18
41-50_cluster1_nokia_lumia_v3_MORE_EVERYTHING,110.39,2754,71
51+_allclusters_htc_one_2GB,393.97,6252,7
<21_cluster3_htc_one_1GB,239.28,2321,26
<21_cluster1_nokia_lumia_v3_10114,78.92,7259,9
41-50_cluster3_htc_one_1GB,67.28,2215,39
21-30_cluster1_htc_one_2GB_limited_time_offer_10114,207.89,4847,54
31-40_cluster3_nokia_lumia_v3_more_everything_8114,80.68,3448,45
21-30_cluster1_iphone_6/6+_Vzn_9114,0,3515,13
<21_cluster1_iphone_6/6+_AT&T,348.96,8719,18
51+_allclusters_htc_one_1GB,326.83,6496,15
41-50_cluster3_iphone_6/6+_Vzn,278.78,5026,5
51+_notarget_nokia_lumia_v3_MORE_EVERYTHING,182.69,2940,78
41-50_allclusters_nokia_lumia_v3_more_everything_9114,282.78,8842,54
51+_allclusters_htc_one_1GB_10114,92.08,2324,23
41-50_notarget_iPhone_6/6+_all_other_devices_8114,543.92,1917,1
<21_allclusters_htc_one_2GB_limited_time_offer,628.5,8059,16
51+_allclusters_iphone_6/6+_Vzn,65.63,4421,79
41-50_notarget_nokia_lumia_v3,30.05,5145,14
<21_notarget_htc_one_2GB_limited_time_offer,655.81,9582,2
31-40_cluster3_nokia_lumia_v3_MORE_EVERYTHING_10114,302.09,2347,74
51+_notarget_nokia_lumia_v3_more_everything_8114,443.09,8958,27
31-40_notarget_iPhone_6/6+_all_other_devices_8114,57.01,8531,5
21-30_allclusters_htc_one_2GB,10.01,9122,62
41-50_cluster1_htc_one_2GB,261.88,3735,47
41-50_notarget_htc_one_1GB_10114,381.48,4487,8
41-50_allclusters_iphone5S_10114,540.54,5018,44
31-40_allclusters_nokia_lumia_v3_more_everything_10114,59.94,8980,3
31-40_allclusters_htc_one_2GB_limited_time_offer_8114,456.25,9873,93
51+_allclusters_nokia_lumia_v3_more_everything_10114,520.74,1665,90
51+_cluster1_nokia_lumia_v3,48.51,8211,13
31-40_cluster3_htc_one_1GB_8114,391.7,4387,92
41-50_cluster3_htc_one_2GB_limited_time_offer,288.13,2694,50
41-50_cluster3_htc_one_2GB_limited_time_offer_9114,402.12,3312,33
<21_cluster3_iPhone_6/6+_all_other_devices_8114,67.58,5566,69
31-40_notarget_iPhone_6/6+_all_other_devices_9114,123.45,2878,43
51+_notarget_nokia_lumia_v3_more_everything_8114,67.29,9387,56
<21_cluster1_iphone_6/6+_AT&T,273.34,1302,57
41-50_notarget_nokia_lumia_v3_MORE_EVERYTHING_8114,492.75,2228,54
51+_cluster1_htc_one_2GB_limited_time_offer,24.05,3354,65
41-50_cluster1_nokia_lumia_v3,368.7,3404,46
41-50_allclusters_iphone_6/6+_AT&T_10114,165.77,6532,34
31-40_cluster1_htc_one_2GB_8114,130.08,6536,0
21-30_cluster1_htc_one_2GB,15.21,5528,67
21-30_cluster3_iphone_6/6+_AT&T_8114,189.67,5555,6
31-40_cluster1_iphone5S_8114,349.01,6806,27
51+_cluster2_htc_one_1GB_8114,81.62,9603,21
<21_cluster3_iphone_6/6+_AT&T,568.44,8375,18
51+_cluster2_htc_one_2GB_limited_time_offer,363.66,3211,79
41-50_cluster3_htc_one_1GB_9114,81.99,2200,81
41-50_cluster3_htc_one_1GB,8.63,2305,49
21-30_cluster1_iphone5S,271.12,3405,37
51+_cluster2_iPhone_6/6+_all_other_devices_8114,663.68,6966,94
<21_allclusters_nokia_lumia_v3_9114,536.74,1455,66
31-40_cluster3_iphone_6/6+_Vzn_8114,183.25,6414,22
<21_cluster3_nokia_lumia_v3_9114,208.49,7994,24
51+_cluster3_iphone5S,95.81,6131,45
21-30_cluster2_nokia_lumia_v3_8114,90.94,9969,91
21-30_notarget_htc_one_2GB_9114,65.17,7817,98
21-30_cluster3_iPhone_6/6+_all_other_devices,116.89,3488,80
41-50_cluster2_nokia_lumia_v3_more_everything_9114,959.53,1693,77
51+_cluster3_htc_one_2GB_limited_time_offer_10114,99.58,3644,9
51+_cluster3_iphone_6/6+_Vzn,185.37,2252,55
21-30_allclusters_iphone5S,14.44,5153,13
21-30_cluster2_nokia_lumia_v3_8114,5.03,4242,76
31-40_cluster2_htc_one_1GB,66.72,5825,68
41-50_cluster2_nokia_lumia_v3,481.06,9482,36
21-30_cluster3_nokia_lumia_v3_MORE_EVERYTHING_8114,52.39,4059,62
31-40_notarget_htc_one_1GB,187.14,7752,65
21-30_cluster1_htc_one_2GB_10114,52.93,5769,42
51+_cluster3_nokia_lumia_v3_MORE_EVERYTHING_8114,87.03,4923,82
41-50_cluster1_iphone5S,415.67,1404,76
51+_notarget_htc_one_2GB_limited_time_offer,338.68,4924,65
41-50_cluster2_iPhone_6/6+_all_other_devices_8114,282.35,4614,90
<21_notarget_iphone_6/6+_AT&T,30.02,4135,7
41-50_allclusters_iphone5S,386.6,8855,41
<21_cluster1_htc_one_2GB_limited_time_offer_9114,28.38,5606,65
51+_allclusters_nokia_lumia_v3_MORE_EVERYTHING,347.28,8422,47
<21_cluster2_iphone5S_8114,246.05,8861,0
51+_cluster2_nokia_lumia_v3_more_everything_9114,492.31,9180,0
<21_notarget_htc_one_2GB_limited_time_offer,224.61,2043,68
21-30_notarget_htc_one_1GB,153.95,9810,62
51+_allclusters_htc_one_1GB,31.55,1370,67
<21_allclusters_nokia_lumia_v3_MORE_EVERYTHING_8114,35.82,4258,26
51+_cluster3_iphone_6/6+_AT&T_8114,81.77,9014,81
21-30_allclusters_htc_one_1GB,62.57,7712,42
31-40_cluster1_nokia_lumia_v3,466.27,2436,57
51+_cluster3_htc_one_1GB_8114,294.82,9319,10
21-30_cluster1_iphone_6/6+_Vzn_8114,758.45,7585,61
41-50_cluster1_htc_one_2GB_limited_time_offer,122.44,6946,14
<21_cluster2_iphone5S,205.79,1495,85
31-40_cluster3_iphone_6/6+_AT&T_10114,317.4,5945,34
51+_cluster1_iphone_6/6+_Vzn_10114,11.41,8831,97
21-30_allclusters_nokia_lumia_v3_more_everything,39.92,9297,93
21-30_cluster3_iphone_6/6+_AT&T,371.75,1017,83
<21_cluster1_nokia_lumia_v3_more_everything_10114,239.24,6615,67
<21_cluster3_iphone_6/6+_Vzn,213.13,1333,62
41-50_cluster3_iPhone_6/6+_all_other_devices,360.85,4629,51
<21_cluster1_iphone_6/6+_AT&T,632.29,7019,9
<21_allclusters_iphone5S_8114,28.93,4668,67
<21_notarget_htc_one_1GB_9114,105.57,2184,75
51+_cluster2_nokia_lumia_v3_MORE_EVERYTHING,690.4,5817,84
31-40_notarget_iphone5S_8114,3.36,2738,45
<21_cluster3_iphone5S_9114,87.14,7081,51
51+_notarget_iphone_6/6+_AT&T,299.03,3997,59
31-40_cluster1_htc_one_1GB,402.53,3632,14
41-50_cluster2_iphone5S_9114,212.53,5033,52
51+_allclusters_nokia_lumia_v3_8114,264.57,1129,100
<21_notarget_iphone5S_10114,113.76,1646,74
51+_cluster3_nokia_lumia_v3_8114,411.61,5496,59
31-40_cluster2_iphone_6/6+_AT&T_10114,238.01,6213,35
21-30_cluster3_nokia_lumia_v3_MORE_EVERYTHING,549.77,8809,71
31-40_cluster1_iphone_6/6+_Vzn,581.24,6947,71
41-50_allclusters_htc_one_1GB,159.81,3463,78
<21_cluster1_iphone_6/6+_Vzn_8114,719.81,8517,50
<21_cluster2_nokia_lumia_v3_MORE_EVERYTHING,61.39,5179,87
51+_allclusters_htc_one_2GB,128.59,5689,6
<21_allclusters_iphone_6/6+_Vzn_10114,158.69,2696,20
51+_notarget_iphone_6/6+_AT&T,19.9,7869,71
41-50_cluster1_iPhone_6/6+_all_other_devices,56.29,3337,25
31-40_notarget_nokia_lumia_v3_8114,87.06,8539,48
<21_cluster1_htc_one_1GB_10114,21.16,7515,42
21-30_cluster2_iPhone_6/6+_all_other_devices,595.43,1431,48
41-50_cluster3_nokia_lumia_v3_more_everything_8114,145.26,8741,78
<21_cluster1_nokia_lumia_v3,220.35,5366,9
41-50_cluster1_htc_one_1GB_9114,182.51,8066,38
<21_cluster1_iphone_6/6+_AT&T,11.33,1245,87
41-50_allclusters_iphone_6/6+_Vzn_8114,495.71,2513,65
21-30_allclusters_htc_one_2GB_limited_time_offer,174.03,2193,21
<21_allclusters_htc_one_2GB_limited_time_offer_9114,208.26,3301,15
41-50_notarget_nokia_lumia_v3_more_everything_8114,117.75,2739,44
31-40_cluster3_nokia_lumia_v3_MORE_EVERYTHING_8114,192.03,8884,53
<21_cluster1_htc_one_2GB_8114,31.31,6106,87
41-50_cluster1_htc_one_2GB,408.54,7137,63
41-50_cluster3_iphone5S,587.36,1334,27
41-50_cluster1_iphone_6/6+_Vzn_9114,83.13,3904,88
<21_cluster1_iphone5S,169.6,6379,15
<21_cluster3_iphone_6/6+_Vzn,16.62,8736,90
<21_cluster2_iPhone_6/6+_all_other_devices_10114,58.67,8194,77
41-50_notarget_nokia_lumia_v3_MORE_EVERYTHING_8114,180.75,3441,72
<21_notarget_htc_one_2GB,103.27,5186,8
41-50_cluster3_htc_one_1GB,32.42,6892,93
51+_cluster1_htc_one_2GB_8114,147.19,1259,51
41-50_allclusters_htc_one_1GB,17.84,4964,62
51+_cluster3_nokia_lumia_v3_more_everything,63.65,2609,33
31-40_cluster3_iphone5S,190.14,2748,44
31-40_notarget_nokia_lumia_v3,182.23,5706,100
<21_cluster2_nokia_lumia_v3_MORE_EVERYTHING,164.9,5072,62
21-30_cluster1_iPhone_6/6+_all_other_devices_10114,172.78,5407,93
41-50_allclusters_iPhone_6/6+_all_other_devices,256.12,1610,46
<21_notarget_nokia_lumia_v3_8114,79.18,8711,87
21-30_cluster1_iphone5S_8114,6.38,6506,91
21-30_cluster3_iphone_6/6+_AT&T,93.66,2371,31
31-40_notarget_nokia_lumia_v3,237.48,3652,25
21-30_notarget_htc_one_1GB,71.94,7813,63
<21_cluster2_iphone_6/6+_Vzn_9114,819.61,1137,13
21-30_cluster3_nokia_lumia_v3,76.13,2139,88
<21_cluster3_iPhone_6/6+_all_other_devices_10114,600.02,8839,36
<21_cluster2_iPhone_6/6+_all_other_devices,424.03,3288,5
<21_cluster1_htc_one_2GB,16.42,1476,88
31-40_cluster1_nokia_lumia_v3,397.28,2833,81
31-40_cluster3_htc_one_2GB_8114,41.8,4374,24
21-30_cluster2_iPhone_6/6+_all_other_devices_9114,4.27,5917,92
41-50_notarget_htc_one_2GB_limited_time_offer_8114,519,5423,80
<21_cluster3_htc_one_2GB_8114,46.91,7210,71
21-30_allclusters_nokia_lumia_v3_more_everything,563.92,8678,86
41-50_allclusters_iphone_6/6+_AT&T,227.41,5897,54
21-30_cluster1_nokia_lumia_v3_8114,654.43,4718,87
21-30_notarget_nokia_lumia_v3,41.67,8978,86
21-30_cluster2_iPhone_6/6+_all_other_devices,83.83,6322,89
31-40_cluster2_iphone_6/6+_Vzn_9114,145.73,7299,17
31-40_notarget_nokia_lumia_v3_more_everything_8114,306.71,2000,67
<21_cluster3_htc_one_2GB_limited_time_offer,165.73,9527,38
41-50_cluster3_nokia_lumia_v3_8114,37.14,8065,59
31-40_allclusters_iphone_6/6+_AT&T,301.49,7497,22
41-50_allclusters_nokia_lumia_v3_more_everything_10114,47.59,1637,4
31-40_cluster2_htc_one_1GB_10114,122.59,1552,57
41-50_cluster2_nokia_lumia_v3_more_everything,148.5,2517,4
31-40_cluster3_iphone_6/6+_Vzn,54.77,2006,35
31-40_cluster1_iphone_6/6+_AT&T,14.14,6957,49
51+_notarget_htc_one_1GB_9114,13.15,7012,67
51+_cluster1_iPhone_6/6+_all_other_devices,35.05,6762,64
21-30_cluster2_nokia_lumia_v3,719.94,2572,72
21-30_notarget_htc_one_1GB_9114,295.75,9698,76
31-40_notarget_nokia_lumia_v3_8114,231.22,6129,51
51+_allclusters_htc_one_1GB_10114,69.29,9460,84
41-50_cluster1_iphone_6/6+_Vzn_9114,15.88,9804,40
<21_cluster2_nokia_lumia_v3_more_everything_8114,363.26,8116,28
31-40_cluster1_htc_one_2GB_limited_time_offer_10114,97.59,6671,41
41-50_cluster3_iPhone_6/6+_all_other_devices_9114,425.38,3200,90
31-40_cluster1_iphone5S_10114,197.68,2390,14
31-40_cluster3_iphone_6/6+_AT&T,95.85,1648,78
41-50_cluster3_iPhone_6/6+_all_other_devices,465.93,2725,72
41-50_cluster2_nokia_lumia_v3_10114,108.22,5117,4
21-30_cluster1_nokia_lumia_v3,166.66,5145,4
41-50_cluster3_iphone_6/6+_Vzn,670.49,7079,65
41-50_cluster1_nokia_lumia_v3_more_everything,200.17,4991,80
<21_notarget_htc_one_2GB_9114,400.46,8475,82
31-40_allclusters_nokia_lumia_v3_MORE_EVERYTHING,296.7,9763,83
41-50_notarget_nokia_lumia_v3_more_everything,538.74,2627,100
31-40_notarget_nokia_lumia_v3_more_everything_8114,63.97,2019,21
31-40_cluster2_htc_one_2GB_limited_time_offer_8114,413.33,3634,96
<21_cluster3_htc_one_2GB_9114,144.9,9766,97
51+_cluster2_htc_one_2GB_limited_time_offer,95.17,9067,4
51+_cluster1_iphone_6/6+_Vzn,105.53,2172,92
41-50_notarget_iphone_6/6+_AT&T_8114,20.04,8490,98
41-50_cluster2_htc_one_2GB_9114,41.43,3480,66
21-30_cluster1_nokia_lumia_v3_MORE_EVERYTHING,144.69,6139,80
<21_allclusters_iphone_6/6+_AT&T,456.78,1234,35
<21_cluster1_iphone_6/6+_AT&T_8114,18.04,5279,41
31-40_notarget_htc_one_2GB_9114,461,2768,27
<21_cluster2_iphone5S,283.71,4906,90
41-50_cluster2_htc_one_2GB_9114,575.02,9301,88
51+_cluster3_iphone_6/6+_Vzn_8114,433.38,1152,82
41-50_cluster2_htc_one_1GB,333.95,3913,66
21-30_notarget_nokia_lumia_v3_MORE_EVERYTHING_8114,617.97,9550,72
31-40_cluster2_iphone5S_9114,344.04,8919,2
51+_cluster3_iphone_6/6+_AT&T,385.26,2283,10
<21_allclusters_iphone5S,15.2,6004,80
31-40_allclusters_nokia_lumia_v3_9114,229.87,5838,65
<21_allclusters_htc_one_1GB,299.82,9083,95
51+_notarget_htc_one_2GB_limited_time_offer_9114,809.76,3486,80
51+_cluster1_htc_one_1GB_9114,563.26,1166,60
51+_cluster3_htc_one_1GB_10114,332.25,1388,98
41-50_cluster1_iPhone_6/6+_all_other_devices,152.84,6215,11
31-40_notarget_nokia_lumia_v3_more_everything_9114,484.23,6290,40
41-50_cluster2_htc_one_2GB,137.13,8589,23
<21_notarget_iphone_6/6+_AT&T,177.34,8220,63
<21_cluster3_htc_one_2GB,234.63,6937,15
21-30_cluster2_nokia_lumia_v3_more_everything_8114,469.67,9089,23
21-30_cluster2_iphone_6/6+_AT&T,575.59,9618,50
41-50_cluster2_nokia_lumia_v3_more_everything,28.87,3193,58
<21_cluster3_iPhone_6/6+_all_other_devices,11.48,8047,45
31-40_cluster1_nokia_lumia_v3_more_everything,863.43,4566,15
51+_cluster3_iphone_6/6+_AT&T,64.53,1314,61
<21_notarget_iphone_6/6+_Vzn,74.12,6395,53
31-40_notarget_iPhone_6/6+_all_other_devices,39.98,7348,72
<21_cluster3_iphone5S_10114,494.42,8899,88
<21_allclusters_iPhone_6/6+_all_other_devices_8114,232.69,5594,88
31-40_notarget_iphone_6/6+_Vzn,97.5,4159,15
<21_cluster1_iphone_6/6+_AT&T,25.29,9556,37
31-40_allclusters_htc_one_1GB,469.93,1818,80
<21_cluster1_nokia_lumia_v3_more_everything,37.54,8583,65
31-40_allclusters_nokia_lumia_v3_MORE_EVERYTHING,122.99,5970,45
<21_cluster1_nokia_lumia_v3,11.82,7525,42
51+_cluster1_htc_one_2GB_10114,205.04,5037,52
<21_allclusters_iPhone_6/6+_all_other_devices,170.3,5934,35
31-40_cluster2_htc_one_2GB_9114,94.08,8629,84
41-50_cluster1_iphone_6/6+_Vzn_10114,599.69,5329,95
<21_allclusters_nokia_lumia_v3,15.91,6126,85
<21_cluster1_iphone_6/6+_Vzn_8114,339.29,8542,97
41-50_allclusters_iphone5S_9114,369.06,5705,16
31-40_cluster1_iphone5S_8114,81.9,4070,15
41-50_cluster1_iphone5S,2.15,4717,41
31-40_allclusters_nokia_lumia_v3_MORE_EVERYTHING,152.3,4303,23
31-40_cluster1_iphone5S,330.02,8339,8
41-50_notarget_htc_one_2GB_limited_time_offer_8114,112.21,2072,49
51+_cluster1_iPhone_6/6+_all_other_devices,242.78,6184,37
41-50_cluster3_nokia_lumia_v3_more_everything,58.76,1295,59
31-40_cluster1_nokia_lumia_v3_more_everything,115.31,1146,34
31-40_cluster3_htc_one_2GB_limited_time_offer,217.83,1031,60
31-40_allclusters_nokia_lumia_v3,30.07,6576,65
41-50_cluster1_iPhone_6/6+_all_other_devices,473.81,9004,38
41-50_cluster3_htc_one_2GB_8114,227.28,9406,16
31-40_notarget_htc_one_1GB,0.71,8580,31
<21_cluster1_nokia_lumia_v3_MORE_EVERYTHING_10114,138,1469,89
41-50_cluster2_htc_one_2GB_limited_time_offer,164.55,2993,57
21-30_cluster1_nokia_lumia_v3_9114,12.83,8414,80
51+_allclusters_iPhone_6/6+_all_other_devices_9114,132.95,6768,98
51+_notarget_htc_one_2GB_9114,370.5,1639,31
<21_allclusters_htc_one_2GB_limited_time_offer_8114,15.06,6883,57
51+_notarget_iPhone_6/6+_all_other_devices,89.63,3215,60
<21_allclusters_nokia_lumia_v3_8114,50.27,5165,75
<21_cluster3_iphone_6/6+_Vzn,305.33,2640,44
<21_cluster1_iphone5S,240.56,3793,83
<21_allclusters_htc_one_1GB,97.66,4390,71
21-30_cluster3_nokia_lumia_v3_MORE_EVERYTHING_8114,129.14,6015,33
21-30_cluster1_nokia_lumia_v3_more_everything_9114,46.21,7161,74
51+_allclusters_iPhone_6/6+_all_other_devices,210.94,6720,66
31-40_cluster3_nokia_lumia_v3,79.72,4695,2
41-50_cluster2_htc_one_1GB,547.43,4906,59
<21_allclusters_nokia_lumia_v3,118.39,9840,83
51+_cluster2_htc_one_2GB_limited_time_offer_9114,250.49,6460,65
31-40_allclusters_iphone5S,197.27,7165,30
21-30_cluster1_htc_one_1GB,203.18,1917,100
21-30_notarget_iPhone_6/6+_all_other_devices,89.95,5224,84
41-50_allclusters_nokia_lumia_v3_MORE_EVERYTHING_10114,676.61,1087,45
<21_cluster3_nokia_lumia_v3_10114,579.49,4269,97
31-40_cluster1_htc_one_2GB,40.81,8033,86
<21_cluster3_nokia_lumia_v3_MORE_EVERYTHING,49.12,9344,95
41-50_cluster2_nokia_lumia_v3_more_everything_9114,198.36,1120,40
<21_notarget_htc_one_2GB_9114,72.19,3072,14
31-40_allclusters_iphone_6/6+_AT&T,33.49,3228,10
21-30_notarget_htc_one_2GB_limited_time_offer,70.78,4921,13
21-30_cluster1_nokia_lumia_v3_MORE_EVERYTHING_9114,346.77,2189,47
31-40_cluster2_nokia_lumia_v3_9114,156.57,7633,92
21-30_cluster2_iPhone_6/6+_all_other_devices_8114,3.22,3734,24
21-30_cluster3_iphone5S,218.12,7281,43
<21_allclusters_nokia_lumia_v3_MORE_EVERYTHING,826.22,5424,25
<21_cluster3_iphone5S_10114,34.91,8874,50
31-40_cluster1_iphone5S,44.01,6928,9
31-40_notarget_iphone_6/6+_Vzn_10114,25.09,4881,100
51+_cluster2_nokia_lumia_v3_more_everything,29.65,8648,0
41-50_cluster2_iphone5S,409.24,2422,23
41-50_cluster2_nokia_lumia_v3,333.25,7186,3
31-40_allclusters_nokia_lumia_v3_MORE_EVERYTHING,11.61,6100,49
41-50_cluster2_htc_one_2GB_limited_time_offer,246.44,5449,8
<21_cluster3_iPhone_6/6+_all_other_devices,564.23,6762,37
51+_allclusters_nokia_lumia_v3_8114,139.3,7807,95
51+_cluster3_iPhone_6/6+_all_other_devices_10114,484.81,4895,53
51+_notarget_iphone_6/6+_AT&T,216.94,2591,27
51+_cluster1_iPhone_6/6+_all_other_devices_9114,139.8,9776,12
<21_allclusters_iphone_6/6+_AT&T,565.47,7756,79
<21_cluster3_iphone5S,30.83,5586,99
31-40_allclusters_iphone_6/6+_Vzn_9114,62.46,6319,49
51+_cluster1_nokia_lumia_v3,105.52,9853,33
41-50_cluster3_htc_one_2GB,463.55,3318,35
<21_cluster3_iPhone_6/6+_all_other_devices_10114,13.93,3060,11
<21_allclusters_htc_one_2GB_limited_time_offer,313.83,7024,65
51+_notarget_htc_one_2GB_9114,181.73,5633,5
<21_cluster2_iphone5S_8114,23.6,2355,55
31-40_cluster2_iphone_6/6+_AT&T_10114,550.02,9901,94
21-30_cluster3_htc_one_2GB_limited_time_offer,77.67,1681,70
41-50_cluster2_nokia_lumia_v3_more_everything,674.89,1065,43
31-40_cluster1_iphone_6/6+_Vzn_10114,13.23,7998,80
21-30_notarget_nokia_lumia_v3_MORE_EVERYTHING_9114,165.68,4367,14
21-30_cluster3_iphone_6/6+_AT&T_9114,282.81,4360,34
31-40_allclusters_htc_one_2GB_8114,747,5252,80
41-50_cluster1_htc_one_2GB_limited_time_offer_9114,424.06,4458,19
31-40_notarget_iphone5S,49.45,4781,99
41-50_cluster2_nokia_lumia_v3_9114,379.92,6545,38
31-40_notarget_htc_one_2GB_9114,13.38,8963,60
51+_cluster2_nokia_lumia_v3_MORE_EVERYTHING_10114,898.64,7532,86
41-50_allclusters_iphone_6/6+_AT&T_9114,66.18,6850,33
21-30_cluster1_iphone_6/6+_AT&T,354.05,4905,82
31-40_allclusters_iphone_6/6+_AT&T_9114,334.35,3670,99
21-30_notarget_iphone_6/6+_Vzn_9114,602.35,7911,91
<21_notarget_nokia_lumia_v3,152.07,7265,10
31-40_cluster2_htc_one_2GB_limited_time_offer_10114,172.69,8482,80
21-30_cluster2_nokia_lumia_v3_more_everything,126.6,3624,27
31-40_cluster1_iPhone_6/6+_all_other_devices,260.34,1302,57
51+_cluster1_htc_one_2GB_9114,546.24,1537,62
21-30_cluster2_iphone_6/6+_AT&T_9114,110.48,8111,59
41-50_notarget_htc_one_2GB_8114,313.86,3031,62
31-40_notarget_htc_one_1GB_9114,671.11,8521,86
51+_cluster1_nokia_lumia_v3_MORE_EVERYTHING_10114,183.63,4947,33
51+_allclusters_htc_one_1GB_9114,433.01,9666,32
41-50_cluster1_iphone_6/6+_AT&T_9114,22.77,2283,56
41-50_allclusters_htc_one_2GB_8114,26.29,7463,3
<21_cluster2_iphone_6/6+_AT&T_10114,1.45,3991,23
<21_allclusters_iphone_6/6+_AT&T_9114,139.09,4507,81
41-50_notarget_iphone_6/6+_AT&T,30.26,7296,89
<21_allclusters_iPhone_6/6+_all_other_devices_10114,5.28,2119,36
21-30_notarget_iPhone_6/6+_all_other_devices,352.69,8541,85
51+_allclusters_iPhone_6/6+_all_other_devices_8114,79.88,9961,48
<21_cluster3_nokia_lumia_v3_MORE_EVERYTHING,498.22,2950,78
31-40_cluster2_iphone_6/6+_AT&T,625.12,6522,73
41-50_notarget_iPhone_6/6+_all_other_devices,154.68,6069,84
51+_cluster2_iphone_6/6+_Vzn_10114,54.91,9737,88
51+_cluster1_iphone_6/6+_AT&T_8114,19.95,2996,9
31-40_cluster1_htc_one_2GB_limited_time_offer_8114,138.38,3811,72
<21_cluster2_nokia_lumia_v3_8114,222.22,5541,44
31-40_notarget_htc_one_1GB_9114,14.15,7316,31
31-40_notarget_iphone_6/6+_Vzn,46.95,8115,16
21-30_cluster1_htc_one_2GB,37.42,4826,2
<21_allclusters_nokia_lumia_v3,230.71,6437,10
21-30_cluster2_htc_one_1GB_8114,0.33,7268,47
21-30_notarget_iphone_6/6+_AT&T,272.71,8347,91
