licensetype	businessname	legaldescription	description	subtype	job_value
			ESTABLISH TEMPORARY USE FOR BEER GARDEN FOR JALISCO RESTAURANT FROM 4/29/00-5/29/00, PER PLOT PLAN & SUBJECT TO FIELD INSPECTION (STFI)		
			INSTALL NEW TYPE I KITCHEN HOOD FOR RESTAURANT PER PLAN		
			INTERIOR ALTERATIONS TO EXISTING RESTAURANT AND INSTALLATION OF TYPE 1 KITCHEN HOOD PER PLAN		
			COMPLETE & FIANL WORK OF PERMIT 665724 (DETACHED ACCY GARAGE, STFI - EXP: 940517) STFI		
			SUBDIVIDE ONE PARCEL INTO TWO PARCELS OF LAND.		
GENERAL CONTRACTOR LICENSE	SCHULTZ MILLER INC		Renew per AP#6208125	SINGLE FAMILY / DUPLEX	
					
			Hoisting elevator equipment onto the first West building for Thyssen Krupp. #37, Job #SS-12715		
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	ROTO ROOTER SERVICES COMPANY		REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE, GENERAL CONTRACTOR LICENSE	NATIONAL SIGN CORPORATION		Install a single face non-illum wall sign - NORTHWEST AUDIOLOGY & BALANCE SERVICES	COMMERCIAL	
	RED HAWK INDUSTRIES LLC		INSTALLATION OF A LOW VOLTAGE BURGLARY ALARM SYSTEM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	PLUMB SIGNS INCORPORATED		Remove existing sign & Install new illum blade sign on 1st Ave side by parking garage - SAFEWAY	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	ERWIN ELECTRIC LLC		ADD 20 AMP CIRCUIT AND EXTERIOR PLUG FOR ELECTRIC CAR.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	MERIT ELECTRIC INCORPORATED		CHANGE SERVICE FROM OVERHEAD TO UNDERGROUND.	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	VALLEY ELEC CO OF MTVERNON INC		RUN NEW 120 VOLT CIRCUITS FOR A POOL COVER	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	A C ELECTRIC SERVICE INC		REPLACE LIGHTS AND INSTALL NEW CASES	COMMERCIAL	
			TEMP POWER POLE - CONSTRUCTION #6092827	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR	BEST PLUMBING GROUP LLC		REPLACE SIDE SEWER IN PLANTING STRIP	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SILVER LAKE ELECTRIC LLC		COMMERCIAL TI SUITE# 304	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SILVER LAKE ELECTRIC LLC		TI ON SUITE# 202	COMMERCIAL	
		POR OF LOTS 1-3 & 12, BLK 18, D.T. DENNY'S WATER FRONT, & ALLEY VAC UNDER VO 56801, LYG S OF W JOHN ST, W OF 1ST AV W & NE OF WESTERN AV W	Closed as Incomplete - Expired Permit INSTALL NFPA 13 FIRE SPRINKLERS PER PLAN		
ELECTRICAL CONTRACTOR LICENSE	STREAMLINE ELECTRICAL SER INC		RELOCATE & UPDATE 200A PANEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	SILVER LAKE ELECTRIC LLC		WIRE NEW TENANT SPACE INCLUDING 125 AMP PANEL AND CIRCUITS.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SILVER LAKE ELECTRIC LLC		WIRE FOR NEW CORRIDOR LIGHTS, GENERAL PURPOSE RECEPTS, EXIT & PATHWAY EMERGENCY LIGHTS, WIRE HOT WATER HEATERS & RESTROOMS	COMMERCIAL	
			CLEAN-OUT SIDE SEWER.	SINGLE FAMILY / DUPLEX	
	UNITED SYSTEMS INCORPORATED		INSTALL (54) T-STATS	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	CHASE ELECTRIC INCORPORATED		INSTALL 200 AMP SERVICE	MULTIFAMILY	
			BUILD DETACHED GARAGE. REPLACE STAIRS & WALKS & ALTER PRIMARY ENTRY, PER PLAN.		
			INITIAL TENANT IMPROVEMENTS FOR MULTI-PURPOSE CONVENIENCE STORE AND INSTALL SATELLITE DISH PER PLAN		
			DEMOLISH/REMOVE EXISTING 4PLEX,SINGLE FAMILY RES & ACCESSORY STRUCTURES, KNOW AS 1414-1416 1ST AVE W, PER ABATMENT ORDER #214129,214130 & 214131 (STFI).		
			BLANKET PERMIT FOR INTERIOR NON STRUCTURAL ALTERATIONS (TENANT IMPROVEMENTS) ONLY, TO SUBMIT PLANS FOR REVIEW & APPROVAL PRIOR TO START OF WORK		
			BATHROOM EXHAUST,ELEVATOR & STAIR PRESS.,GARAGE & ELEVATOR MACHINERY EXHAUST & HVAC FOR COMMERCIAL SPACE PER PLAN		
			CONSTRUCT TWO STORY ADDITION WITH BASEMENT AND ATTACHED GARAGE TO EXISTING SINGLE FAMILY RESIDENCE PER PLAN		
			INTERIOR ALTERATIONS TO BASEMENT, 1ST & 2ND FLOORS OF SINGLE FAMILY RESIDENCE, STFI		
			INSTALL ANTENNAE & PANEL ANTENNAE ON ROOF, PER PLANS		
			TO 5TH FLOOR OFFICE AREA, PER PLANS		
			BLANKET PERMIT-INTR NON-STRUCTURAL ALTERATION ONLY DCLU APPROVAL OF PLANS REQ'D PRIOR TO WORK COMPLETE ABOVE WORK OF PERMIT: 620968		
			TO BLDG, INCLUDING ROOF REPAIR, PER PLANS		
			SHORE AND UNDERPIN EXTG BLDG PER PLANS		
REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE	DESIGN AIR LTD		REPLACING BOILER B-2	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL	OLSON ENERGY SERVICE		REPLACE GAS FURNACE WITH NEW GAS FURNACE	SINGLE FAMILY / DUPLEX	
	CITY OF SEA F&FD		Revision to change hydronic to electric heat.	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	PATRIOT FIRE PROTECTION INC		Sprinkler only to add 25 heads for, Alterations to change use from commercial to apartments including construction on level L2 in existing mixed-use building, per plan.	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	NELSON ELECTRIC INCORPORATED		F/A TI; INSTALLING RELAY & SMOKE DETECTORS. JOINT VENTURE W/NELSON ELECTRIC & FIRE SYSTEMS WEST	COMMERCIAL	
		LOT 4, BLK 27, BIGELOW'S	Rebuild existing deck, new porch roof, new garaage/shed addition,new trellises to existing single family residence, per site plan. Subject to field inspections. STFI	SINGLE FAMILY / DUPLEX	$30,000.00
		PARCEL B, SP #3010779 KCR #20100125900002	Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: Y)2,783 sq.ft. Z) 3,218 sq.ft	MULTIFAMILY	
	ADT SECURITY SERVICES INC		ADDING 1 HARDWIRE TO AN EXISTING LOW VOLTAGE BURGLAR ALARM SYSTEM	MULTIFAMILY	
ELECTRICAL CONTRACTOR LICENSE	CISCO ELECTRIC INCORPORATED		UPGRADE ELECTRICAL SERVICE AND PANEL. INSTALL WIRING FOR BATH & LAUNDRY ADDITION.	SINGLE FAMILY / DUPLEX	
	SPU WATER DEPT		Cordination with the bussness for shutting water off		
	PUGET SOUND ALARM INCORPORATED		LOW VOLTAGE ALARM	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE	INTRACORP REAL ESTATE LLC	LOTS 1 THRU 4, BLK 38, D.T.DENNY'S 3RD ADDITION	Phase 2 of 2 - Construction of a 7-story mixed-use structure (102 dwelling + 13 live-work units) with underground parking. Full architectural and above-grade structure this permit and occupy all per plan. Revision to add toliet room to existing approved plans. Building enclosure revision waterproofing	MULTIFAMILY	$17,643,896.00
			CONSTRUCT 48SF BALCONY ADDITION & INTERIOR ALTERATIONS ON 2ND FLOOR OF EXISTING SINGLE FAMILY RESIDENCE. PER PLANS. SUBJECT TO FIELD INSPECTION.		
					
			ESTABLISH USE AS A DUPLEX & OCCUPY CONSTRUCT NEW DUPLEX APARTMENT BUILDING, PER PLANS		
			FUTURE INTERIOR REMODEL OF BLDG. #3, ADDITION OF SIX PARKING SPACES AND COVER FOR TWO WALKWAYS AND ONE REFLECTING POOL		
			REPLACE PITCHED ROOF WITH FLAT ROOF, REINFORCE WALLS, & CONVERT DETACHED GARAGE TO STORAGE USE ACC'Y TO SFR, PER PLOT PLAN, STFI		
			INTERIOR TENANT IMPROVEMENTS SUBJECT TO FIELD INSPECTION		
			Existing 25 unit apartment building. Add private bathrooms to 11 existing units that currently used shared bathroom facilities		
			TO DIVIDE ONE PARCEL OF LAND INTO THREE PARCELS.		
		S 29' OF LOT 3 & LOT 4, BLK 15, D.S. MAYNARD'S PLAT, LESS 12' FOR 2ND AVE S PER CO# 1141	Steel Stair Shop drawings	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	MCBRIDE CONSTRUCTION	LOTS 1-10, BLK &quot;C&quot;, NORTHERN PACIFIC 1ST AVE INDUSTRY TRACTS	Repair roof over an existing loading dock on the eastern side of an existing warehouse/cold storage (Charlies Produce), per plans.	COMMERCIAL	$300,000.00
	BRINKS HOME SECURITY INC		INTRUSION ALARM	SINGLE FAMILY / DUPLEX	
		S 29' OF LOT 3 & LOT 4, BLK 15, D.S. MAYNARD'S PLAT, LESS 12' FOR 2ND AVE S PER CO# 1141	Substantial alteration and seismic upgrade to 3-story historic building with construction of 4th and 5th floors, partial window replacements, construction of new stairs throughout floors, new elevator construction; type 13 sprinkler system throughout; to combine two bldgs into one for future office, retail, restaurant use, (to be est. under MUP 3008106), per plan	COMMERCIAL	$5,500,000.00
ELECTRICAL CONTRACTOR LICENSE	EVERGREEN ELECTRICAL SVCS INC		INSTALL 200-AMP 120/208V 3-PHASE SUB FEED TO THE RELOCATED 200-AMP PANEL SERVING THE FRONT ELEVATOR.	COMMERCIAL	
		LOT 1, BLOCK 301, SEATTLE TIDELANDS ADDITION	Establish use as towing service with vehicle storage,outdoor accessory storage and install new 14x40 modular goldseal trailer for office,const,entry stair/landing/ramp and foundation and occupy per plans.	COMMERCIAL	$3,500.00
ELECTRICAL CONTRACTOR LICENSE	EVERGREEN ELECTRICAL SVCS INC		RELOCATE EXISTING 200-AMP PANEL. WIRE RESTAURANT LIGHTS & EQUIPMENT PER PLAN. 12/14/06 JNL - ABOUT TO EXPIRE LETTER SENT. 3/7/07 BEW CONTRACTOR RENEWED PERMIT	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, SPECIALTY CONTRACTOR LICENSE	DEBOLTE PLUMBING & HEATING INC		FURNISH & INSTALL A NEW HYDRONIC HEATING BOILER ON THE ROOF TO SERVE HEAT PUMPS	COMMERCIAL	
			INSTALL SUPPLY AND RETUNR AIR DUCTWORK SHAFTS TO BEGIN AT ROOF OF BUILDING AND PENETRATE 3 FLOORS BEFORE TERMINATING AT THE BASEMENT PER PLAN		
			INTERIOR ALTERATIONS & EXTEND RAMP TO OFFICE DOOR CHANGE USE FROM OFFICE TO PERSONAL TRANSPORTATION SERCVICES WITH CARETAKER UNIT AND OCCUPY PER PLANS		
			INTERIOR ALTERATIONS FOR OFFICE, ACCESSORY TO FIRE STATION #10, SUBJECT TO FIELD INSPECTION (STFI)		
			INTERIOR ALTERATIONS TO OPEN CONNECTION BETWEEN NEIGHBORING PROPERTIES; CHANGE USE FROM RESTAURANT TO INDOOR PARTICIPANT SPORTS (NIGHT CLUB) PER PLAN		
			PERMIT FOR FUTURE WHARF, BUILDING ADDITION, DREDG- ING, RIPRAP, GRADING, PAVING AND STORM DRAINAGE OUTFALL.		
			BUILDING FROM LIGHT MANUFACTURING TO GENERAL MANUFACTURING AND OCCUPY, PER PLANS		
					
			ESTB FUTURE USE CONCRETE BATCH PLANT/DISPATCH OFF SEPA REVIEW/SHLN SUB DEV		
GENERAL CONTRACTOR LICENSE	INTER-CITY CONTRACTORS INC	PARCEL B, SP#2400518	Dry season application.	COMMERCIAL	
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	HDC LLC		SEWER REPAIR	SINGLE FAMILY / DUPLEX	
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	PIPELINE INDUSTRIES INC		SIDE SEWER REPAIR - RSSC TO PERFORM STREET RESTORATION	SINGLE FAMILY / DUPLEX	
		LOT 17 & THE NORTH 5 FT OF LOT 18, BLOCK 3, FRONT STREET CABLE ADDN	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Construct roof modification and interior remodel to existing single family residence per plan.	SINGLE FAMILY / DUPLEX	$125,000.00
			Basement interior remodel in existing single family residence per floor plan and subject to field inspection	SINGLE FAMILY / DUPLEX	$40,000.00
ELECTRICAL CONTRACTOR LICENSE	RWA ELECTRIC INC		WIRE FOR GARAGE ADDITION	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	3-D ELECTRIC INC		UFER GROUND. REF BLDG PERMIT 6131497.	MULTIFAMILY	
		E 76' OF LOTS 1-2, BLK 23, LAWS 2ND ADDN	re-establish AP#6093200	SINGLE FAMILY / DUPLEX	
			Finish and final the work of permit #729612, subject to field inspection.	SINGLE FAMILY / DUPLEX	$1,000.00
ELECTRICAL CONTRACTOR LICENSE	TRI-STAR ELECTRIC LLC		KITCHEN/BATH REMODEL	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	KEITHLY ELECTRIC COMPANY		FROM TEMPORARY PERMIT #032 - INSTALL NEW 200A MAIN PANEL	SINGLE FAMILY / DUPLEX	
			CONSTRUCT BAY WINDOW ADDITION AND ENCLOSE PORCH; REMODEL KITCHEN/POWDER ROOM AND UPSTAIRS BATHROOM, PER PLOT PLAN, SUBJECT TO FIELD INSPECTION (STFI).		
			TENANT IMPROVEMENTS OF OFFICE SPACES LOCATED IN THE CENTRAL PORTION OF THE 1ST FLOOR OF AN EXIST BUILDING PER PLAN		
					
			INTERIOR ALTERATIONS TO OFFICE SUITE (LEVEL P3, WEST SIDE) PER PLANS		
			CONSTRUCT DETACHED GARAGE (ACCESSORY TO SINGLE FAMILY RESIDENCE) PER PLOT PLAN SUBJECT TO FIELD INSPECTION (STFI)		
			INSTALL NEW HVAC SYSTEM, PER PLANS		
			ESTABLISH USE FOR RECORDS AS PARKING LOT, PER PLAN		
REFRIGERATION CONTRACTOR LIC.	SELECT AIR SERVICE		INSTALL DUCTLESS HEAT PUMP	SINGLE FAMILY / DUPLEX	
		LOT 4, BLOCK 9, BIGELOWS ADD	Alteration to replace rockery and retaining wall per site plan and subject to field inspection	SINGLE FAMILY / DUPLEX	$20,000.00
		LOT 14, BLOCK 13, MAYFAIR ADD	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Establish use as single family residence. Construct 3-story one family dwelling with attached garage per plan.	SINGLE FAMILY / DUPLEX	$392,626.00
ELECTRICAL CONTRACTOR LICENSE	PAX ELECTRIC INC		Closed without final inspection, no known life safety issuesREPLACE 200A SERVICE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	DAHLGREN ELECTRIC		WIRE BASEMENT REMODEL; REPLACE KNOB & TUBE WIRING.	SINGLE FAMILY / DUPLEX	
			SEISMIC RETROFIT FOR PROJECT IMPACT		
			INTERIOR ALTERATIONS TO BUILDING PER PLAN CHANGE USE FROM DUPLEX TO SINGLE FAMILY RESIDENCE AND ADD GARAGE IN BASEMENT.		
			CONSTRUCT DETACHED GARAGE ACC'Y TO SINGLE FAMILY RESIDENCE. PER PLOT PLAN & SUBJECT TO FIELD INSPECTION.		
			CONSTRUCT STRUCTURAL SLAB FOR EMERGENCY GENERATOR ACCESSORY TO COMMUNICATION UTILITY PER PLAN		
			CONSTRUCT 2-STORY ADDITION AND INTERIOR NON-STRUCT ALTERATIONS TO EXIST SFR P/P COMPLETE ABOVE WORK OF PERMIT: 633501		
			REMOVE DECK & CONSTRUCT DECK ADDITION TO ONE FAMILY DWELLING, PER PLOT PLAN & SUBJECT TO FIELD INSPECTION (STFI)		
			EST USE AS SINGLE FAMILY RESIDENCE, CONST SINGLE FAMILY RESIDENCE,W/ATTACH GARAGE,P/PL		
			Reestablish permit 6221606 from 10/11/2012 until 4/11/2014.	SINGLE FAMILY / DUPLEX	
			REWIRE OF SFR	SINGLE FAMILY / DUPLEX	
			Construct altertions to suite 305 (Karen Sluiter) of existing office building per floor plan and STFI.	COMMERCIAL	$35,000.00
ELECTRICAL CONTRACTOR LICENSE	MACDONALD-MILLER SERVICE INC		INSTALL (2) LOW VOLTAGE CO2 SENSORS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	PRIDE ELECTRIC INCORPORATED		ADD FIRE ALARM DEVICES FOR T.I.; THIS IS A JOINT VENTURE W/ PRIDE ELECTRIC AND CHUBB FIRE & SECURITY.	COMMERCIAL	
	MJR MECHANICAL LLC		Installing 8 fire smoke dampers, adding new air difusers and grills, relocating duct work per plan. 2/17/12 VB; change in fire smoke dampers, there are now only (7).	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	D W CLOSE COMPANY INCORPORATED		ADD(4)EXITS,(7)OUTLETS,(2)FURNITURE CONNECTIONS,(8)CIRCUITS, RELOCATE LIGHTING	COMMERCIAL	
			3/3/2010 VJW: ADMINISTRATIVE TRACKING PERMIT FOR REPORTING SANITARY CONNECTIONS TO KING COUNTY	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	ZORKO ELECTRIC INCORPORATED		INSTALLATION OF VOICE/DATA CABLING	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	GRAHAM CONTRACTING LTD	LOTS 3, 4, 5, EXECUTIVE PARK	Tenant improvements to existing 3rd floor office per plan.	COMMERCIAL	$249,000.00
			Alter Suite #204 (2nd Floor) of existing office subject to field inspection (STFI)	COMMERCIAL	$30,000.00
ELECTRICAL CONTRACTOR LICENSE	RAIN CITY ELECTRIC INC		GET STARTED PERMIT FOR BRANCH WIRING; REFERENCE 6140642	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	E H S LLC		TENANT IMPROVEMENT, EHS JOB NO. 79033	COMMERCIAL	
			Roof rafter repair for fire damage at existing dwelling per location plan and subject to field inspection.	SINGLE FAMILY / DUPLEX	$25,000.00
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	UNIVERSAL MECH SVC COMPANY INC		REPLACE OIL FURNACE	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	MACDONALD-MILLER SERVICE INC		RELOCATE 3 EXISTING T-STATS AND 1 EXISTING SENSOR	COMMERCIAL	
ELEVATOR CONTRACTOR LICENSE	SCHINDLER ELEVATOR COMPANY		TEMP OPERATION PERMIT		
			NEW SIDE SEWER FOR ADDITION TO EXTEND SFR.	SINGLE FAMILY / DUPLEX	
	PROTECTION ONE ALARM INC		LOW VOLTAGE SECURITY SYSTEM	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	WASHINGTON ALARM INC		ADDING AN AUTOMATIC FIRE ALARM - 13 SMOKE DETECTORS, 1 POWER SUPPLY, 1 STROBE, 6 HORNSTROBES, 5 MANUAL PULL STATIONS, 1 FACP & 1 ANNUNCIATOR. 3/10/03 MVC: PLAN NOT APPROVED; INSTALLATION NOT PROHIBITED	COMMERCIAL	
			NON-STRUCTURAL INTERIOR ALTERATIONS TO 2ND FLOOR 0FFICE, SUITE 203, SUBJECT TO FIELD INSPECTION (STFI)		
			BLANKET PERMIT FOR INTERIOR NON-STRUCTURAL TENANT IMPROVEMENTS PER PLAN SUBMITTAL AND APPROVAL PRIOR TO START OF WORK		
			TENANT IMPROVEMENTS TO 4TH FLOOR ADMINISTRATIVE OFFICE PER PLAN		
			TENANT IMPROVEMENT TO SUITE #206 FOR MEDICAL OFFICE USE, SUBJECT TO FIELD INSPECTION		
			ADD 1 HEAT PUMP, DUCT, DIFFUSERS, RTN. AIR GRILLS, T'STAT; RELOCATE DIFFUSERS & T'STATS, PER PLAN ON 5TH FLOOR FOR CAREER CLINIC, PER PLAN		
			CONSTRUCT 2 STORY BLDG ACCESSORY TO APTS, PER PLAN		
			2ND FLOOR INTERIOR REMODEL PER PLANS		
			DEMOLISH A SINGLE FAMILY RESIDENCE, AND EST USE FOR FUTURE CONST OF 5 APARTMENT HOUSES, (CLUSTER DEVELOPMENT), PER PLANS		
			NON-STRUCTURAL TENANT ALTERATIONS TO INTERIOR ON 6TH FLOOR, PER PLAN		
			Tenant improvement on the 3rd floor of an existing building (see attached),	COMMERCIAL	$0.00
	ALLIED FIRE & SECURITY		ADDING ONE DOOR OF ACCESS CONTROL TO THE SECURITY OFFICE DOOR	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	COLUMBIA ENVIRONMENT GROUP LLC		ADD CIRCULATION FANS, PHONE & DATA LOCATIONS, 11 NEW RECEPTACLE LOCATIONS.	COMMERCIAL	
GENERAL CONTRACTOR LICENSE	NW CONST & REMODELING LLC	N 25' OF PARCEL A, LBA #8702849 REC NO 8706170868	CLOSED AS INCOMPLETE - EXPIRED PERMIT. Establish use for and construct new single family dwelling with surface parking, per plans.	SINGLE FAMILY / DUPLEX	$186,890.00
SPECIALTY CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	W S CONTRACTORS LLC	LTS 1-11 & 17-18, BLK 30, COMMERCIAL STREET STEAM ADDN TGW POR VAC S ORCAS ST, TGW ALL VAC ALLEY IN SD BLK (VAC ORD 114028) QD IN FILE	Foundation repair to existing warehouse addition per plans.	COMMERCIAL	$100,000.00
ELECTRICAL CONTRACTOR LICENSE	PRIME ELECTRIC INCORPORATED		INSTALL (2) 8' SECTIONS OF TRACK LIGHTING. EXTEND (1) CIRCUIT.	COMMERCIAL	
		THAT POR OF BLOCK F, REPLAT OF BLK 1 & BLK 10 TO 18, INDUSTRIAL ADDN DAF: LOTS 1-3 & LOTS 10-12, AND POR TR F AND LTS 4 & 9 LYING NORTH OF THE NORTH LINE AND ITS EXTENSION ACROSS TRACT F OF THE SLY 86' OF SAID LOTS 4 & 9, ALL IN SAID BLOCK F.	Land use application to change 14,400 sq.ft. of warehouse use to Administrative office and to allow a 4,362 sq.ft. 2nd floor addition and 8,638 sq.ft of tenant improvements. Surface parking for 84 vehicles to be provided.	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE	SCRIBNER ELECTRIC		TENANT IMPROVEMENT ELECTRICAL CONSISTING OF NEW LIGHTING, HVAC, CONNECTIONS & RECEPTACLES: 3/08/06 ELJ ADD (8) T-STATS	COMMERCIAL	
ELECTRICAL CONTRACTOR LICENSE, REFRIGERATION CONTRACTOR LIC., GENERAL CONTRACTOR LICENSE	COMFORT MECHANICAL INC	E 1/2 OF LT 5, BLK 16, P.S. MAYNARDS	Replace existing cooling tower and pump with new same capacity. per plan.	COMMERCIAL	
REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	ARCHER CONSTRUCTION INC		REROUTE ROOF DRAINS TO EXISTING CB	INDUSTRIAL	
			INTERIOR ALTERATIONS TO EXISTING BUILDING, CHANGE USE TO LIGHT MANUFACTURING, AND OCCUPY AS SCREEN PRINT/EMBROIDERY SHOP		
			ALTERATIONS TO ALL FLOORS OF EXISTING BUILDING CHANGE USE OF FLOORS 2-5 FROM WAREHOUSE TO ARTIST STUDIO DWELLING UNITS& OCCUPY,ALL PER PLANS SEPARATE PERMITS REQ'D FOR BSMT & 1ST FLR OCCUPNCY		
			INSTALL CHAIN LINK FENCE WITHIN SW PORTION OF BLGD CHANGE USE OF SAME PORTION OF BLDG FROM WAREHOUSE TO HOUSEHOLD COMMERCIAL (TOWING SERVICE), PER PLAN (NOTE: A PORTION OF SPACE TO REMAIN WAREHOUSE)		
			RELOCATE PANEL; ADD LIGHTS, OUTLETS, FANS, SWITCHES & DED APPLIANCE CIRCUITS. 2/12/13 M.lee,Expired permit.Closed without final inspections,	SINGLE FAMILY / DUPLEX	
			RELOCATE OFD FROM 6906 CALIF AV SW TO PERMIT ADDR ESTABLISH USE AS SINGLE FAMILY RESIDENCE RELOCATE OFD & CONSTRUCT FOUNDATION, PER PLANS		
GENERAL CONTRACTOR LICENSE	C4DIGS INC		Demolish existing duplex, per plot plan and subject to field inspection, STFI.	SINGLE FAMILY / DUPLEX	
GENERAL CONTRACTOR LICENSE, REGIS. SIDE SEWER CONTRACTOR, GENERAL CONTRACTOR LICENSE	METROPOLITAN SEWER SERVICE LLC		REPAIR	SINGLE FAMILY / DUPLEX	
ELECTRICAL CONTRACTOR LICENSE	KEMLY ELECTRIC INCORPORATED		INSTALL NEW RISER FOR HEIGHT REQUIREMENT	SINGLE FAMILY / DUPLEX	
