product_id,quantity_purchased,cost_to_buy,retail_value
1785263,61,2.38,18.05
1749725,75,1.57,8.16
1832547,95,2.09,13.6
1900779,57,2.3,14.2
1402771,61,2.25,13.17
1016253,54,1.5,9.71
1173724,52,1.24,8.86
1775872,82,1.49,11.9
1324732,64,2.09,13.74
1247319,67,1.35,8.8
1906466,75,1.57,11.36
1868094,97,1.7,9.27
1952052,77,2.12,12.72
1037721,56,2.23,16.4
1836974,52,1.75,11.39
1704871,78,2.15,13.11
1564253,71,1.58,9.58
1140363,68,2.17,18.02
1324552,90,2.32,18.77
1130829,96,1.96,13.4
1766284,90,1.68,8.59
1374512,86,2.1,12.97
1127964,81,1.31,8.01
1844264,65,1.72,13.56
1714497,61,2.16,12.89
1929955,57,2.35,12.28
1636950,99,2.14,13.46
1343900,71,1.4,7.3
1791925,55,2.15,16.34
1786642,99,1.36,8.54
1670415,59,2.23,17.03
1758813,92,1.7,14.08
1576863,72,1.86,9.74
1735060,88,1.55,9.29
1344211,56,1.86,10.22
1097989,59,1.64,11.68
1588454,63,1.87,9.91
1219756,74,1.97,10.47
1541404,64,2.01,11.63
1533559,52,2.17,13.12
1791225,53,1.24,9.15
1584857,86,2.35,17.95
1652328,64,2.32,18.06
1770857,89,1.24,7.27
1947589,50,2.0,13.3
1151645,99,1.24,10.04
1234107,69,1.98,14.54
1692707,82,2.24,12.74
1034822,61,2.38,13.48
1821683,87,1.33,6.84
1576792,72,1.76,12.74
1504034,97,1.38,10.57
1920067,72,2.11,17.33
1754448,59,2.11,13.18
1345153,50,2.26,18.57
1324664,59,2.07,15.38
1479551,89,1.76,13.65
1671341,84,1.38,7.15
1171407,78,2.16,17.83
1540794,55,2.32,19.02
1660476,52,2.0,15.28
1964470,76,1.55,10.36
1437855,75,1.58,10.42
1947188,63,1.55,7.93
1107262,73,1.67,10.53
1970433,79,2.12,14.77
1200329,62,1.51,10.66
1395799,68,2.35,14.41
1424161,58,1.81,14.76
1540692,56,1.33,8.09
1756122,93,1.96,14.22
1387146,70,2.24,15.11
1920414,52,1.9,10.56
1259361,85,1.27,6.75
1636489,87,1.4,8.89
1889774,57,2.25,17.08
1456241,51,1.52,10.55
1695932,68,1.3,7.33
1898639,63,1.22,9.0
1077838,70,1.52,10.21
1926686,99,2.04,13.44
1960952,90,1.78,12.58
1548121,80,2.0,15.73
1633325,88,2.4,16.45
1073542,63,1.93,11.63
1537357,89,2.01,14.29
1254631,63,1.53,10.72
1470520,99,1.92,13.85
1556121,99,2.33,15.89
1584125,74,2.18,17.21
1987773,64,2.26,17.55
1786147,97,1.21,7.04
1320769,87,2.27,16.76
1793695,65,1.56,12.44
1300125,50,1.28,9.25
1962707,81,1.34,8.76
1876591,90,2.26,14.66
1398443,54,1.91,10.72
1350686,67,1.93,9.98
1859893,56,1.56,10.49
1317693,53,1.76,14.33
1281721,59,1.56,9.13
1120731,87,2.09,13.92
1873434,51,1.75,14.19
1822193,65,1.78,9.25
1633354,70,1.61,9.73
1884988,99,2.38,19.32
1768556,64,2.35,13.72
1976314,59,1.96,11.94
1032956,90,1.4,9.2
1553993,99,2.39,17.43
1191046,64,1.42,8.06
1117940,70,1.28,8.14
1951222,77,1.88,13.88
1038240,70,1.5,8.75
1288627,52,1.29,7.85
1829603,62,1.39,9.85
1665135,81,1.37,7.15
1209772,86,2.22,11.64
1893456,82,1.33,6.71
1049883,64,1.31,9.8
1387862,52,1.5,10.42
1343045,59,1.93,15.55
1996545,63,2.4,12.07
1187826,72,2.13,15.72
1105699,85,1.99,10.96
1382895,63,1.77,9.33
1025861,52,1.76,13.15
1134525,61,2.3,17.47
1061407,85,1.27,9.54
1686065,72,1.78,9.56
1486209,69,2.03,15.47
1749326,87,1.52,11.41
1955027,59,2.03,12.61
1055075,56,1.51,9.36
1309239,57,2.2,16.49
1051590,57,1.33,8.15
1449938,95,1.96,13.17
1079428,62,1.32,7.03
1163768,73,1.63,10.84
1425419,69,1.2,7.27
1208256,59,1.34,7.16
1078956,66,2.0,15.44
1313600,96,2.23,13.84
1954992,70,1.64,10.79
1887861,84,1.7,10.32
1483575,58,1.91,13.59
1774573,94,2.32,13.71
1354207,92,2.2,12.17
1518939,59,1.84,13.48
1311882,99,1.97,13.15
1298756,54,1.52,12.31
1243107,75,1.74,13.11
1700329,71,1.99,10.09
1440720,64,1.23,6.95
1243711,94,1.72,10.3
1757730,93,1.82,15.04
1534977,74,1.51,8.05
1473423,90,1.84,13.92
1341315,78,1.64,11.63
1040065,81,1.72,13.38
1921927,87,2.33,15.05
1415775,55,2.01,14.39
1459546,66,2.27,13.41
1365080,91,1.49,8.83
1515420,76,1.81,15.02
1312844,63,1.36,9.78
1356858,85,1.93,14.98
1599882,56,1.77,10.91
1821738,55,2.17,11.94
1164160,80,1.9,9.57
1056924,56,1.73,13.67
1622881,54,1.68,8.54
1281986,92,1.5,12.1
1725885,72,1.51,8.17
1182621,58,1.59,8.85
1782158,76,2.16,17.48
1704096,60,1.43,8.61
1440587,99,2.17,17.82
1634453,84,2.39,17.99
1585607,79,2.25,11.7
1551153,52,1.98,10.64
1610242,80,2.14,15.36
1489131,50,1.81,13.45
1133998,93,1.56,11.24
1560221,67,2.32,14.59
1276499,89,2.21,13.49
1063069,79,1.99,15.47
1152999,91,2.11,13.29
1962267,50,1.53,10.77
1446257,72,1.86,12.92
1682457,85,1.88,14.42
1738173,80,2.34,14.46
1813478,94,1.82,14.19
1321465,80,2.14,16.17
1837975,79,2.13,12.69
1433699,70,1.52,10.32
1655393,85,2.23,16.28
1823608,59,1.84,9.82
1055237,77,2.03,12.3
1585713,68,1.94,16.17
1301983,53,2.05,14.1
1445325,65,2.26,12.31
1158336,80,1.52,10.16
1739731,81,1.99,11.42
1743135,88,1.59,10.05
1861356,65,1.98,10.41
1573844,65,1.27,10.08
1776936,69,1.59,10.8
1458692,88,1.3,7.94
1880646,91,1.9,12.9
1084995,74,2.31,12.26
1676573,59,1.93,10.29
1560722,88,1.71,9.41
1801705,75,1.61,11.26
1851357,92,1.6,11.22
1726255,91,1.25,7.79
1923309,69,1.39,9.71
1755017,86,2.09,11.17
1803521,78,2.06,12.01
1882579,59,1.85,11.89
1678038,60,2.27,17.69
1986746,59,2.06,15.49
1623737,78,1.46,10.01
1025311,52,1.45,7.37
1385960,60,1.98,14.83
1003455,76,2.26,13.48
1337424,68,2.25,12.21
1521520,95,1.92,12.14
1741770,74,1.28,6.9
1948490,83,2.08,16.25
1889954,68,1.97,12.74
1344240,66,1.68,10.56
1634459,95,1.87,10.77
1469422,54,2.27,13.42
1721190,65,1.33,7.33
1811121,68,2.08,12.92
1483467,71,1.88,9.86
1076896,74,2.14,11.56
1111862,75,1.57,8.14
1607278,69,1.52,12.16
1653959,67,1.73,9.59
1010420,72,1.76,13.23
1740574,77,2.14,12.66
1383174,86,1.55,8.76
1210873,74,1.96,13.11
1907826,57,1.21,8.3
1101327,64,1.94,9.8
1295735,62,2.0,14.09
1189255,60,2.36,19.0
1909819,62,1.8,12.34
1591346,62,1.29,9.34
1877942,93,1.26,6.94
1530511,95,2.21,15.25
1354798,81,2.12,11.12
1530213,62,1.93,13.03
1330366,59,1.45,11.38
1867565,52,2.1,11.37
1980468,83,1.25,7.81
1243138,83,2.27,16.72
1617977,92,2.33,17.24
1588057,70,2.05,16.2
1524480,75,1.86,10.01
1160348,56,1.51,11.37
1989809,60,1.54,9.92
1725575,83,1.96,15.11
1820289,53,2.0,15.55
1650307,65,1.45,7.89
1097230,71,1.23,8.54
1882269,77,2.29,18.73
1872659,99,1.34,9.33
1337178,94,1.97,14.13
1263465,57,2.39,13.25
1734661,87,1.29,7.69
1861964,89,1.66,11.2
1197479,68,2.03,13.34
1266560,78,1.88,11.77
1360626,84,1.81,12.3
1668743,98,1.57,11.43
1072292,51,2.23,11.28
1242609,61,1.43,8.65
1290726,79,1.63,10.9
1705055,61,1.4,8.57
1334883,87,2.27,18.5
1498611,52,2.32,12.31
1257764,86,2.3,15.7
1903306,52,1.81,10.35
1774964,52,1.91,12.56
1545353,84,1.72,9.75
1017884,66,2.03,14.64
1982635,78,1.96,11.48
1501073,87,1.31,9.0
1434159,92,1.51,12.17
1838782,81,1.97,14.95
1211888,52,1.49,9.26
1312516,64,2.09,12.27
1161872,88,1.47,9.52
1214453,76,2.21,13.02
1774643,89,2.33,16.58
1607595,82,1.64,8.42
1448703,98,2.18,17.9
1494449,82,1.84,10.04
1974874,63,2.33,18.68
1177156,90,2.03,10.42
1819569,77,1.86,14.04
1933128,85,2.04,12.35
1529532,55,2.38,12.71
1039686,70,1.72,13.1
1797242,89,2.1,14.74
1112685,52,2.22,16.99
1569935,61,2.2,12.66
1237096,56,1.98,10.11
1039356,77,1.6,12.77
1753913,60,1.32,7.98
1149955,81,1.28,6.52
1557093,96,2.18,11.38
1624722,77,2.34,19.06
1628329,94,1.97,11.25
1421815,59,1.7,11.63
1162714,63,1.96,15.09
1867324,92,2.24,12.97
1753326,51,1.34,8.89
1264429,57,2.15,13.27
1969050,88,1.82,12.6
1104294,57,2.12,13.16
1597824,89,1.3,7.81
1675565,64,2.03,14.28
1553954,84,1.97,11.67
1131516,73,1.52,9.75
1773706,62,1.43,9.99
1326745,64,1.64,8.66
1094897,73,2.28,13.81
1959558,66,2.14,10.91
1093924,62,2.34,19.43
1216936,85,1.6,11.57
1356517,68,1.28,8.36
1996584,52,1.63,12.01
1124997,99,1.66,8.44
1977053,89,2.26,14.26
1204860,65,1.63,12.85
1632606,50,2.16,17.21
1106913,62,1.69,8.68
1198284,78,2.12,16.39
1989316,67,1.52,9.11
1604086,71,1.35,7.0
1499297,70,2.27,16.96
1644083,73,2.3,18.12
1730614,53,1.36,10.24
1333666,99,2.03,13.5
1423002,83,2.27,18.41
1143721,96,2.24,12.54
1303880,67,1.56,9.33
1500934,77,1.79,13.66
1621927,52,2.4,18.7
1673531,78,1.97,10.58
1479507,60,1.82,12.68
1124521,58,2.12,13.26
1170020,94,2.39,15.19
1669701,66,2.39,16.03
1959920,69,1.51,10.39
1614481,83,1.79,12.84
1748751,69,1.81,11.98
1447667,98,1.93,14.09
1580671,90,2.32,18.48
1151202,96,1.93,13.78
1944752,85,2.31,15.61
1073907,71,1.22,6.35
1558469,64,1.97,11.43
1351441,73,1.97,14.96
1657231,53,1.58,7.93
1521459,88,1.93,9.99
1378433,67,1.45,10.13
1697122,67,1.95,11.76
1820344,61,1.43,9.19
1958824,98,1.89,15.49
1937132,60,2.09,13.16
1935037,82,2.21,17.16
1885857,71,1.3,9.02
1257821,91,1.34,8.86
1788003,71,1.24,7.14
1587300,75,2.2,12.31
1998756,86,2.02,16.44
1836863,91,1.34,10.89
1867376,95,2.06,14.97
1054441,54,2.28,16.88
1550686,55,2.04,16.83
1140585,52,1.86,11.56
1294312,70,1.75,12.25
1518261,89,1.21,9.62
1200453,80,1.71,11.22
1712536,83,1.76,11.37
1282163,64,1.92,12.61
1093660,61,1.22,6.45
1137130,69,2.4,14.53
1242372,86,2.4,18.99
1724887,76,1.49,9.67
1670831,69,1.5,11.45
1690805,52,1.77,10.51
1437474,94,1.39,8.36
1725342,80,1.3,6.81
1908649,98,2.4,14.72
1106364,90,1.29,7.53
1978105,94,1.2,7.82
1614915,52,2.12,14.72
1297600,97,2.23,14.11
1087656,69,1.25,9.01
1547900,80,2.03,12.15
1394657,99,1.96,9.9
1502474,85,1.34,10.92
1490461,69,1.31,10.57
1040983,76,2.23,18.39
1430802,55,2.18,12.79
1782132,54,2.25,16.33
1055832,94,1.21,7.5
1257157,72,1.94,16.02
1391981,54,1.98,14.89
1059918,94,2.16,13.22
1808775,77,1.5,9.2
1348136,99,1.58,9.28
1273246,54,2.03,11.02
1841667,94,1.63,11.27
1208610,99,1.5,11.2
1221961,62,1.74,14.26
1588480,80,1.94,14.57
1165017,82,1.91,9.93
1947632,77,1.25,7.64
1461041,87,1.4,7.64
1823899,73,1.25,7.28
1449081,74,1.48,8.9
1051609,79,2.0,12.44
1087743,86,2.29,11.59
1869113,70,2.23,14.23
1281560,63,1.69,11.63
1304473,59,1.23,8.8
1685054,82,2.14,11.64
1008476,83,1.45,8.55
1578724,78,1.91,12.24
1043248,71,1.51,11.75
1775420,99,1.64,13.69
1016107,74,2.36,16.05
1651685,81,1.44,9.07
1088195,54,1.87,13.66
1182923,60,1.31,9.78
1950123,86,2.33,17.33
1536577,96,2.18,11.63
1678970,94,2.12,11.11
1522038,79,2.3,17.23
1349076,65,2.17,15.36
1494586,99,2.38,17.98
1009975,60,1.59,8.18
1856709,61,2.06,15.45
1792820,61,1.79,9.4
1698105,60,2.18,15.9
1857733,58,1.79,12.9
1272553,99,1.2,7.21
1746711,67,1.77,9.21
1716612,50,1.3,8.47
1028567,66,1.9,13.42
1476001,81,1.42,8.04
1409395,60,2.09,17.08
1544227,55,1.92,9.87
1253782,80,1.71,13.33
1852725,77,1.44,7.42
1981204,60,2.33,13.36
1080655,77,1.78,9.71
1586946,57,1.5,9.86
1205756,79,1.72,10.25
1139040,96,1.96,13.36
1138798,65,1.94,15.36
1212537,73,1.78,13.06
1168694,69,2.03,15.88
1539628,91,2.3,18.15
1318666,70,2.31,14.92
1636187,76,1.72,11.0
1284967,90,2.26,16.78
1828953,77,1.37,10.52
1606500,79,1.87,10.84
1739317,86,2.28,14.94
1836799,99,1.65,10.81
1912914,91,1.43,8.73
1701366,64,2.17,16.11
1201148,54,2.23,15.22
1841072,73,2.18,13.64
1469131,52,1.88,15.54
1326497,62,1.72,12.46
1902129,75,2.12,16.42
1157182,60,1.54,7.77
1298229,76,2.19,14.52
1115528,91,1.42,7.34
1237420,57,1.24,9.37
1570993,99,2.36,12.43
1279957,75,2.11,11.59
1536065,82,1.54,8.79
1491928,56,1.54,9.46
1983714,96,1.79,12.0
1311247,92,2.33,13.69
1793260,59,1.93,15.67
1681404,85,1.86,12.1
1489020,64,2.35,14.76
1957566,72,1.77,14.67
1806988,67,1.81,14.97
1762408,59,1.31,8.92
1048469,62,1.67,8.66
1114590,66,1.4,7.72
1636762,90,1.39,7.22
1405428,91,1.79,11.61
1792219,83,1.85,10.37
1573556,94,2.19,17.04
1789715,92,2.18,16.09
1887614,99,2.02,11.71
1023104,87,2.39,16.51
1801790,81,1.43,9.51
1582029,68,1.78,14.49
1895090,85,1.27,8.53
1899171,51,2.08,15.2
1734468,92,1.65,8.86
1646644,58,2.36,12.0
1386161,93,1.89,10.23
1835351,98,1.7,10.65
1377236,71,1.71,13.25
1138361,82,1.25,6.43
1030034,62,1.86,14.99
1291859,95,2.0,15.44
1844960,73,1.79,12.47
1685383,78,1.6,11.04
1816319,85,1.76,13.1
1409433,83,2.0,11.28
1244444,95,1.39,10.34
1117030,70,2.14,15.06
1224225,69,1.45,7.71
1755191,58,1.42,8.58
1506187,76,1.37,10.73
1122133,81,1.39,9.54
1723368,95,1.48,11.87
1432691,83,2.26,16.1
1204182,76,1.67,9.6
1974901,59,2.2,15.07
1023182,78,1.69,13.45
1138693,75,2.4,18.59
1519689,71,1.44,9.61
1139136,67,1.62,11.37
1393679,50,1.85,14.55
1039653,75,2.0,13.37
1221113,57,1.39,8.26
1777586,63,2.13,13.57
1832230,78,1.21,10.01
1079004,99,1.63,11.76
1032843,80,2.02,12.23
1858866,68,1.24,6.32
1513832,84,1.93,11.88
1660999,73,1.86,15.23
1292849,78,1.3,10.53
1647585,53,2.35,19.57
1520469,93,1.67,13.67
1134178,96,1.41,10.21
1259023,71,1.52,12.34
1617958,88,1.65,8.77
1935440,50,1.57,8.24
1941809,77,2.06,14.17
1368088,79,1.43,7.95
1144549,96,2.11,11.04
1208284,71,1.61,9.33
1040387,63,1.22,9.14
1294563,74,1.36,7.61
1070005,90,1.21,9.69
1394229,52,1.85,15.44
1290453,93,1.82,11.6
1892941,82,1.76,12.75
1605149,76,1.47,11.27
1297819,50,1.93,13.69
1926575,56,2.2,12.21
1859884,73,1.27,10.23
1870226,67,1.57,12.57
1369512,52,2.03,11.57
1385264,58,2.13,10.74
1602884,71,2.17,14.88
1657954,60,1.41,9.77
1112152,95,2.19,12.29
1375309,89,2.08,10.59
1338839,89,1.56,8.56
1536998,97,1.6,8.71
1886220,77,1.29,10.12
1989539,78,1.79,9.26
1460654,92,2.27,16.75
1069144,73,1.81,14.94
1634182,92,2.09,12.87
1997181,96,2.16,15.12
1791655,64,1.37,11.34
1178116,76,2.24,16.9
1475535,78,1.27,9.58
1212233,71,1.54,9.1
1232509,58,1.45,10.18
1479797,97,1.92,14.03
1836097,55,1.34,8.89
1155278,85,2.21,14.22
1687581,73,2.12,14.3
1826893,88,1.32,10.67
1040009,60,1.43,11.24
1675463,55,1.88,15.35
1506276,77,2.05,13.63
1032950,50,1.3,6.67
1743615,69,2.11,11.51
1192000,59,1.64,9.47
1791016,92,1.27,6.83
1962166,67,1.52,12.0
1352457,63,1.82,11.59
1782545,89,2.26,16.35
1107600,53,2.38,17.81
1904423,68,2.19,13.32
1730032,75,1.41,10.52
1472577,57,1.51,8.89
1637951,58,2.2,11.74
1302263,62,1.71,9.46
1696068,51,1.84,10.78
1660797,58,1.87,14.38
1177852,60,1.88,13.28
1605396,72,1.71,9.14
1309918,73,1.8,9.79
1554732,61,1.33,10.09
1821965,86,1.34,9.65
1919130,64,1.24,9.01
1759239,58,1.8,12.73
1324418,76,2.29,13.4
1108410,52,1.57,8.99
1439293,95,1.7,10.87
1590454,89,1.42,8.2
1330657,55,1.67,13.06
1286438,87,1.9,13.1
1490339,60,2.26,15.36
1877306,82,1.82,9.16
1500256,67,1.71,12.04
1937021,94,1.78,14.73
1902351,94,2.28,14.07
1719665,65,1.82,14.72
1502712,77,1.35,8.65
1343764,68,1.59,8.88
1730073,81,1.74,10.21
1602698,68,1.45,9.85
1272669,67,2.15,12.84
1472904,81,2.08,17.27
1219553,76,2.36,16.67
1628331,98,2.28,15.62
1559381,62,2.32,12.84
1626349,50,1.5,9.08
1119298,66,1.63,8.4
1817453,73,1.62,12.1
1347489,72,1.27,7.66
1885470,55,2.37,18.31
1276596,69,2.3,16.02
1529979,79,1.82,11.28
1914722,58,1.99,11.28
1967793,90,1.54,10.93
1726401,54,2.08,12.44
1344854,71,1.23,6.46
1067213,61,1.82,11.85
1898869,54,1.45,9.56
1042919,60,1.52,11.53
1624036,75,2.08,13.44
1153172,81,1.7,13.43
1056277,99,2.27,17.6
1966989,52,2.26,14.71
1721708,50,2.0,14.73
1988675,85,1.31,10.19
1216947,95,1.25,6.91
1832721,69,2.09,10.97
1681385,70,1.73,12.88
1056142,87,1.55,9.18
1897376,90,1.56,10.92
1780587,86,2.3,11.91
