product_id,quantity_purchased,cost_to_buy,retail_value
1317693,49,1.76,14.33
1385264,31,2.13,10.74
1801787,36,1.52,8.77
1529532,46,2.38,12.71
1902389,52,1.21,8.82
1867324,53,2.24,12.97
1898869,42,1.45,9.56
1586785,52,1.91,11.15
1569935,53,2.2,12.66
1038240,39,1.5,8.75
1962948,30,1.78,9.21
1034822,54,2.38,13.48
1391981,30,1.98,14.89
1573844,39,1.27,10.08
1437474,45,1.39,8.36
1039686,59,1.72,13.1
1673531,41,1.97,10.58
1602884,34,2.17,14.88
1216936,38,1.6,11.57
1311882,41,1.97,13.15
1820344,43,1.43,9.19
1723368,49,1.48,11.87
1741848,59,1.64,11.04
1664629,58,1.31,7.52
1666328,40,1.51,10.49
1415775,39,2.01,14.39
1111862,30,1.57,8.14
1617958,45,1.65,8.77
1014973,57,2.39,15.57
1056142,38,1.55,9.18
1559381,55,2.32,12.84
1513832,38,1.93,11.88
1134178,59,1.41,10.21
1322176,52,1.59,11.88
1738173,41,2.34,14.46
1655393,48,2.23,16.28
1398443,39,1.91,10.72
1079004,55,1.63,11.76
1232509,42,1.45,10.18
1789715,31,2.18,16.09
1745803,52,1.55,11.05
1882579,49,1.85,11.89
1460654,55,2.27,16.75
1481752,45,1.43,7.22
1628329,52,1.97,11.25
1700329,51,1.99,10.09
1788673,52,1.6,10.89
1394229,50,1.85,15.44
1124040,54,2.39,18.58
1315866,32,1.24,6.5
1072292,30,2.23,11.28
1637008,50,1.51,7.87
1861964,56,1.66,11.2
1547900,45,2.03,12.15
1070005,34,1.21,9.69
1803521,34,2.06,12.01
1881867,54,1.31,7.8
1902351,42,2.28,14.07
1820289,31,2.0,15.55
1650307,59,1.45,7.89
1292849,40,1.3,10.53
1762408,57,1.31,8.92
1493029,39,2.12,15.37
1557093,34,2.18,11.38
1491928,40,1.54,9.46
1791925,45,2.15,16.34
1356517,42,1.28,8.36
1149955,58,1.28,6.52
1559358,32,1.51,11.7
1122133,46,1.39,9.54
1339422,44,1.29,8.78
1439293,58,1.7,10.87
1272597,43,2.05,13.08
1534977,30,1.51,8.05
1529979,58,1.82,11.28
1300376,49,2.14,17.38
1423002,36,2.27,18.41
1232692,36,1.34,8.25
1365080,48,1.49,8.83
1636187,57,1.72,11.0
1341288,43,1.25,6.57
1197853,35,1.52,7.68
1385960,55,1.98,14.83
1695217,50,1.65,12.37
1791655,35,1.37,11.34
1831276,49,1.81,11.76
1143721,40,2.24,12.54
1688992,40,1.65,9.51
1369512,59,2.03,11.57
1646644,43,2.36,12.0
1855690,45,2.11,13.65
1836799,30,1.65,10.81
1950123,36,2.33,17.33
1425734,34,1.24,7.89
1622881,46,1.68,8.54
1093660,41,1.22,6.45
1279220,52,1.36,10.78
1198284,36,2.12,16.39
1168694,48,2.03,15.88
1348136,38,1.58,9.28
1344854,31,1.23,6.46
1134525,56,2.3,17.47
1106913,58,1.69,8.68
1695932,38,1.3,7.33
1446257,55,1.86,12.92
1998756,34,2.02,16.44
1908649,47,2.4,14.72
1887861,44,1.7,10.32
1729987,59,1.44,7.43
1200329,38,1.51,10.66
1120731,32,2.09,13.92
1767554,35,1.77,11.52
1760387,41,2.4,18.31
1499297,39,2.27,16.96
1698105,51,2.18,15.9
1197479,35,2.03,13.34
1397405,37,1.8,12.36
1778721,58,1.91,13.4
1832547,50,2.09,13.6
1180304,53,2.06,11.11
1828953,56,1.37,10.52
1797242,33,2.1,14.74
1727723,35,2.18,15.44
1987773,57,2.26,17.55
1639717,37,1.93,13.13
1627170,30,1.87,12.69
1920067,33,2.11,17.33
1858896,41,1.67,11.85
1157182,48,1.54,7.77
1554732,38,1.33,10.09
1079428,31,1.32,7.03
1205756,34,1.72,10.25
1120838,51,2.35,14.72
1636511,52,1.61,10.77
1836863,47,1.34,10.89
1902066,54,1.34,7.62
1792219,52,1.85,10.37
1633379,55,1.66,12.25
1208610,49,1.5,11.2
1768055,32,1.85,10.11
1064193,45,2.24,17.24
1058615,50,2.02,13.87
1069144,58,1.81,14.94
1222277,54,2.14,15.1
1272553,48,1.2,7.21
1704096,35,1.43,8.61
1519689,58,1.44,9.61
1352457,58,1.82,11.59
1354798,49,2.12,11.12
1604794,36,2.34,18.48
1536340,53,1.53,11.0
1242609,56,1.43,8.65
1808775,44,1.5,9.2
1420386,49,1.88,15.64
1040065,36,1.72,13.38
1413822,55,1.98,13.24
1347489,36,1.27,7.66
1301983,59,2.05,14.1
1985586,48,1.33,10.44
1276024,37,2.03,16.29
1185243,51,1.22,6.22
1776653,53,2.17,15.8
1178957,50,1.68,11.06
1160348,43,1.51,11.37
1303880,30,1.56,9.33
1320769,44,2.27,16.76
1221113,40,1.39,8.26
1007659,57,1.27,6.6
1361586,56,1.99,10.29
1086293,56,1.86,13.46
1573556,30,2.19,17.04
1637951,39,2.2,11.74
1947188,49,1.55,7.93
1723434,35,2.11,16.29
1105699,40,1.99,10.96
1782545,59,2.26,16.35
1550686,53,2.04,16.83
1341315,49,1.64,11.63
1832498,56,2.17,17.01
1046892,37,2.07,11.55
1948490,37,2.08,16.25
1279957,54,2.11,11.59
1719215,49,2.08,15.86
1082049,48,2.21,13.64
1850198,44,2.02,12.81
1294312,46,1.75,12.25
1298229,30,2.19,14.52
1721190,42,1.33,7.33
1475535,46,1.27,9.58
1347130,37,1.88,13.75
1356858,32,1.93,14.98
1242372,48,2.4,18.99
1791016,49,1.27,6.83
1590454,32,1.42,8.2
1405428,45,1.79,11.61
1747228,41,2.27,16.31
1114590,37,1.4,7.72
1003455,52,2.26,13.48
1177852,59,1.88,13.28
1392044,59,1.87,10.89
1604086,46,1.35,7.0
1040387,50,1.22,9.14
1599882,58,1.77,10.91
1819569,39,1.86,14.04
1609265,52,1.21,6.23
1702072,45,1.99,10.96
